#DAT file by SAXSII - Timestamp: 09/12/2024 14:40:48
radial-q_A^-1,intensity,sigma
0.06969417755962168,0.060196474,0.022204405
0.0698467366990234,0.06445002,0.022210125
0.06999929583842514,0.0743528,0.02220094
0.07015185497782687,0.08451446,0.022200562
0.0703044141172286,0.0670072,0.022204587
0.07045697325663033,0.06940349,0.022136489
0.07060953239603207,0.0723372,0.022126572
0.07076209153543381,0.0728277,0.022104468
0.07091465067483553,0.08371575,0.022128614
0.07106720981423727,0.059442468,0.022091782
0.071219768953639,0.06609963,0.022101676
0.07137232809304073,0.06961543,0.02205762
0.07152488723244246,0.06894425,0.02201024
0.07167744637184419,0.069206804,0.022013655
0.07183000551124594,0.074658595,0.022030454
0.07198256465064766,0.06741865,0.02198708
0.0721351237900494,0.06323034,0.02197902
0.07228768292945113,0.0706551,0.021952152
0.07244024206885286,0.0718895,0.02191698
0.07259280120825459,0.060726076,0.021914326
0.07274536034765632,0.056934062,0.021899553
0.07289791948705805,0.065334104,0.0219169
0.07305047862645979,0.057893418,0.021906618
0.07320303776586153,0.06575218,0.02185621
0.07335559690526326,0.055157818,0.021812838
0.07350815604466499,0.077516034,0.021848723
0.07366071518406672,0.06970989,0.021862028
0.07381327432346844,0.0630183,0.021807142
0.07396583346287018,0.069060914,0.021832082
0.07411839260227192,0.07800038,0.021820942
0.07427095174167365,0.077955425,0.02179164
0.07442351088107539,0.06702605,0.021736784
0.07457607002047711,0.067485265,0.021722998
0.07472862915987885,0.06646777,0.021703944
0.07488118829928057,0.06473389,0.021714743
0.07503374743868231,0.066749506,0.021693734
0.07518630657808405,0.059743296,0.021643225
0.07533886571748578,0.056846835,0.021649871
0.07549142485688752,0.06352339,0.021662448
0.07564398399628924,0.06023039,0.021617195
0.07579654313569098,0.065685645,0.021619175
0.07594910227509272,0.064770564,0.021597417
0.07610166141449444,0.061990283,0.02158177
0.07625422055389618,0.061357874,0.0215405
0.0764067796932979,0.057514124,0.02154201
0.07655933883269965,0.06933546,0.02153998
0.07671189797210137,0.06231299,0.021536293
0.07686445711150311,0.069843456,0.021529691
0.07701701625090485,0.06389811,0.021474404
0.07716957539030657,0.06734478,0.021471724
0.0773221345297083,0.07472611,0.021507991
0.07747469366911003,0.06891869,0.021455443
0.07762725280851177,0.07451908,0.02145162
0.0777798119479135,0.07264761,0.021413073
0.07793237108731524,0.055594776,0.021391014
0.07808493022671698,0.058968455,0.021369128
0.0782374893661187,0.06380889,0.02136374
0.07839004850552043,0.06131014,0.02136063
0.07854260764492216,0.06300807,0.02136246
0.0786951667843239,0.068347156,0.021351798
0.07884772592372563,0.07165665,0.021319497
0.07900028506312737,0.066744335,0.021281658
0.0791528442025291,0.06420836,0.021308236
0.07930540334193083,0.07154139,0.021311548
0.07945796248133256,0.06598331,0.021263296
0.07961052162073429,0.054579534,0.021276148
0.07976308076013602,0.06551325,0.021224381
0.07991563989953776,0.06921512,0.021193232
0.0800681990389395,0.05984251,0.021191651
0.08022075817834123,0.062590696,0.02119172
0.08037331731774296,0.060806703,0.021206921
0.0805258764571447,0.06467361,0.021179102
0.08067843559654642,0.06892939,0.021140987
0.08083099473594815,0.07111305,0.021114575
0.08098355387534989,0.06900129,0.02111579
